latitude,longitude,Events,Type
18.815236,82.712102,1,Left Wing Extremism
24.762841,86.338852,1,Left Wing Extremism
25.564796,83.979003,1,Left Wing Extremism
24.713178,84.837795,1,Left Wing Extremism
22.488806,87.096759,1,Left Wing Extremism
24.663717,93.906269,1,Nationalist/Sub-nationalist Movement
22.451393,86.992203,1,Left Wing Extremism
18.302432,80.551997,1,Left Wing Extremism
25.288587,86.572894,1,Left Wing Extremism
22.507239,86.556476,1,Left Wing Extremism
22.736252,84.350261,1,Left Wing Extremism
22.610968,84.502431,1,Left Wing Extremism
18.160337,81.934385,1,Left Wing Extremism
23.744186,84.504429,1,Left Wing Extremism
18.295274,81.923471,1,Left Wing Extremism
20.199508,85.95958,1,Left Wing Extremism
22.45109,86.995289,1,Left Wing Extremism
22.240734,86.923596,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
24.753791,84.969734,1,Left Wing Extremism
22.507239,86.556476,1,Left Wing Extremism
22.959166,85.965274,1,Left Wing Extremism
23.669296,86.151112,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
19.477122,84.096518,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
24.605105,84.671527,1,Left Wing Extremism
26.450211,85.399963,1,Left Wing Extremism
26.485169,85.315457,1,Left Wing Extremism
18.108706,82.10879,1,Left Wing Extremism
24.316127,87.261257,1,Left Wing Extremism
23.744186,84.504429,1,Left Wing Extremism
18.864418,84.060038,1,Left Wing Extremism
25.900723,84.955617,1,Left Wing Extremism
22.68337,87.99594,1,Left Wing Extremism
23.744186,84.504429,1,Left Wing Extremism
24.179793,86.306772,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.87687,88.384625,1,Left Wing Extremism
25.068355,84.013843,1,Left Wing Extremism
25.053548,83.679836,1,Left Wing Extremism
25.069025,84.018343,1,Left Wing Extremism
24.390426,84.456646,1,Left Wing Extremism
22.486676,86.499655,1,Left Wing Extremism
22.33082,87.128572,1,Left Wing Extremism
33.921168,75.014605,1,Religious Inspired: Islamic
20.848333,86.337222,1,Left Wing Extremism
24.128611,84.185712,1,Left Wing Extremism
22.59834,86.864691,1,Left Wing Extremism
23.744186,84.504429,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
26.160391,85.900173,1,Left Wing Extremism
22.394329,87.099879,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
24.574312,83.640053,1,Left Wing Extremism
24.574312,83.640053,1,Left Wing Extremism
24.574312,83.640053,1,Left Wing Extremism
24.574312,83.640053,1,Left Wing Extremism
18.847716,79.961237,1,Left Wing Extremism
22.008698,86.418731,1,Left Wing Extremism
22.585272,87.049698,1,Left Wing Extremism
26.802177,85.54704,1,Left Wing Extremism
26.802177,85.54704,1,Left Wing Extremism
23.669296,86.151112,1,Left Wing Extremism
22.586023,87.051109,1,Left Wing Extremism
25.292096,79.872417,1,Religious Inspired: Islamic
22.875122,86.505971,1,Left Wing Extremism
24.817011,93.936844,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
25.683821,85.354965,1,Left Wing Extremism
18.340368,81.18164,1,Left Wing Extremism
12.978737,77.59964,1,Religious Inspired: Islamic
26.678779,92.857672,1,Nationalist/Sub-nationalist Movement
22.06054,85.237313,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
17.686294,83.218955,1,Left Wing Extremism
17.68659,83.21824,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
22.576127,87.084911,1,Left Wing Extremism
22.365086,85.437557,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
22.032336,87.174696,1,Left Wing Extremism
22.8667,86.7833,1,Left Wing Extremism
17.655135,82.218405,1,Left Wing Extremism
25.380634,86.465382,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
17.686294,83.218955,1,Left Wing Extremism
18.936128,83.251906,1,Left Wing Extremism
22.55482,87.043064,1,Left Wing Extremism
22.424109,87.318986,1,Left Wing Extremism
22.475775,87.316819,1,Left Wing Extremism
20.806018,82.536139,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
22.525776,87.060939,1,Left Wing Extremism
22.562035,87.154756,1,Left Wing Extremism
18.993153,83.115303,1,Left Wing Extremism
24.204235,84.870937,1,Left Wing Extremism
17.837685,81.429027,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
22.424109,87.318986,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
22.486676,86.499655,1,Left Wing Extremism
22.610968,84.502431,1,Left Wing Extremism
25.561454,94.144979,1,Nationalist/Sub-nationalist Movement
22.585272,87.049698,1,Left Wing Extremism
22.566455,87.179183,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
17.753365,81.374123,1,Left Wing Extremism
25.856089,84.856857,1,Left Wing Extremism
26.122892,85.368365,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
18.378889,82.180278,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
20.186586,80.678646,1,Left Wing Extremism
17.68659,83.21824,1,Left Wing Extremism
17.862932,82.197868,1,Left Wing Extremism
18.05591,81.465142,1,Left Wing Extremism
19.26636,84.035246,1,Left Wing Extremism
27.341404,92.303905,1,Nationalist/Sub-nationalist Movement
22.488072,86.853433,1,Left Wing Extremism
22.585272,87.049698,1,Left Wing Extremism
23.32339,86.16882,1,Left Wing Extremism
22.819444,87.234464,1,Left Wing Extremism
24.559377,84.79952,1,Left Wing Extremism
19.859428,84.41464,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
17.376812,78.487812,1,Religious Inspired: Islamic
19.598623,80.226578,1,Left Wing Extremism
22.032336,87.174696,1,Left Wing Extremism
20.384114,80.610848,1,Left Wing Extremism
17.864437,81.408409,1,Left Wing Extremism
18.555268,81.537572,1,Left Wing Extremism
22.610968,84.502431,1,Left Wing Extremism
24.811127,84.791626,1,Left Wing Extremism
25.2727,94.0265,1,Nationalist/Sub-nationalist Movement
18.364195,81.892418,1,Left Wing Extremism
22.479149,86.93612,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.33648,86.94864,1,Left Wing Extremism
19.592682,83.871157,1,Left Wing Extremism
26.517027,85.099964,1,Left Wing Extremism
22.767974,87.019944,1,Left Wing Extremism
22.424109,87.318986,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
18.775175,80.536697,1,Left Wing Extremism
21.871683,82.450903,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
23.200211,86.904804,1,Left Wing Extremism
20.271944,81.493056,1,Left Wing Extremism
22.370952,87.124831,1,Left Wing Extremism
23.065,86.269444,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.709685,87.170958,1,Left Wing Extremism
22.209761,86.894348,1,Left Wing Extremism
20.181843,80.006844,1,Left Wing Extremism
22.697733,86.700131,1,Left Wing Extremism
24.128611,84.185712,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
23.332078,86.365208,1,Left Wing Extremism
21.812876,80.183829,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
23.341599,85.306528,1,Left Wing Extremism
22.424109,87.318986,1,Left Wing Extremism
24.889099,84.860015,1,Left Wing Extremism
10.815278,78.696389,1,Nationalist/Sub-nationalist Movement
23.579468,85.952859,1,Left Wing Extremism
25.068355,84.013843,1,Left Wing Extremism
25.04796,85.136165,1,Left Wing Extremism
24.764352,86.336935,1,Left Wing Extremism
18.535742,82.037989,1,Left Wing Extremism
27.477675,94.910721,1,Nationalist/Sub-nationalist Movement
22.370659,86.502181,1,Left Wing Extremism
22.804566,86.202875,1,Left Wing Extremism
22.406265,86.497128,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.577189,87.004942,1,Left Wing Extremism
18.578762,82.281954,1,Left Wing Extremism
21.974236,84.984354,1,Left Wing Extremism
19.203477,81.934532,1,Left Wing Extremism
22.610968,84.502431,1,Left Wing Extremism
23.610346,83.810174,1,Left Wing Extremism
19.723535,81.242411,1,Left Wing Extremism
25.090798,85.311177,1,Left Wing Extremism
23.0704,85.423954,1,Left Wing Extremism
16.830171,75.710031,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
27.540153,95.722239,1,Nationalist/Sub-nationalist Movement
19.723535,81.242411,1,Left Wing Extremism
24.304028,84.204164,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
21.217183,85.784604,1,Left Wing Extremism
19.203477,81.934532,1,Left Wing Extremism
9.984663,76.583434,1,Religious Inspired: Islamic
20.181843,80.006844,1,Left Wing Extremism
17.858395,81.434522,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
24.18,88.27,1,Left Wing Extremism
21.111097,85.825585,1,Left Wing Extremism
26.398022,90.269415,1,Nationalist/Sub-nationalist Movement
18.727528,81.441632,1,Left Wing Extremism
18.904292,81.346817,1,Left Wing Extremism
23.795653,86.430386,1,Nationalist/Sub-nationalist Movement
23.744186,84.504429,1,Nationalist/Sub-nationalist Movement
22.636028,88.274045,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
22.291444,86.928606,1,Left Wing Extremism
18.708305,80.995499,1,Left Wing Extremism
22.875122,86.505971,1,Left Wing Extremism
17.878896,81.390117,1,Left Wing Extremism
18.336306,81.476654,1,Left Wing Extremism
17.980901,81.438199,1,Left Wing Extremism
17.945263,81.359428,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
22.35435,86.906606,1,Left Wing Extremism
21.844607,85.38208,1,Left Wing Extremism
22.209761,86.894348,1,Left Wing Extremism
26.149794,91.763931,1,Nationalist/Sub-nationalist Movement
19.723535,81.242411,1,Left Wing Extremism
22.916707,87.07035,1,Left Wing Extremism
22.937379,86.966776,1,Left Wing Extremism
26.280004,93.884575,1,Nationalist/Sub-nationalist Movement
26.560442,85.06053,1,Left Wing Extremism
18.22153,81.355483,1,Left Wing Extremism
23.744186,84.504429,1,Left Wing Extremism
23.432932,86.514813,1,Left Wing Extremism
22.653787,86.555165,1,Left Wing Extremism
33.313294,75.763367,1,Religious Inspired: Islamic
18.791667,80.816667,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
22.370952,87.124831,1,Left Wing Extremism
22.544534,88.221773,1,Left Wing Extremism
26.63755,90.644049,1,Nationalist/Sub-nationalist Movement
22.404193,87.379866,1,Left Wing Extremism
18.708305,80.995499,1,Left Wing Extremism
26.126337,90.616701,1,Nationalist/Sub-nationalist Movement
23.938979,84.425145,1,Left Wing Extremism
24.129325,86.31232,1,Left Wing Extremism
23.833807,84.782531,1,Left Wing Extremism
22.264864,85.059714,1,Left Wing Extremism
22.587307,86.47438,1,Left Wing Extremism
23.43,84.68,1,Left Wing Extremism
23.919906,91.850304,1,Nationalist/Sub-nationalist Movement
24.236881,84.074879,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
22.632073,86.764262,1,Left Wing Extremism
22.819444,87.234464,1,Left Wing Extremism
23.406839,87.925092,1,Left Wing Extremism
23.065,86.269444,1,Left Wing Extremism
18.701641,81.248451,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
18.727528,81.441632,1,Left Wing Extremism
22.587307,86.47438,1,Left Wing Extremism
22.486676,86.499655,1,Left Wing Extremism
27.057645,95.263268,1,Nationalist/Sub-nationalist Movement
19.084645,80.159604,1,Left Wing Extremism
22.875122,86.505971,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
23.409836,86.579817,1,Left Wing Extremism
22.819444,87.234464,1,Left Wing Extremism
25.167773,86.094418,1,Left Wing Extremism
26.515894,85.29404,1,Left Wing Extremism
20.208052,80.877724,1,Left Wing Extremism
18.545865,82.882905,1,Left Wing Extremism
22.763009,85.068003,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
23.887562,84.799711,1,Left Wing Extremism
22.238019,86.801633,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
22.585272,87.049698,1,Left Wing Extremism
22.876869,88.384625,1,Left Wing Extremism
24.415957,84.370891,1,Left Wing Extremism
17.864437,81.408409,1,Left Wing Extremism
26.745469,92.095702,1,Nationalist/Sub-nationalist Movement
24.159623,83.803807,1,Left Wing Extremism
23.057592,88.099235,1,Left Wing Extremism
24.453749,84.584344,1,Left Wing Extremism
17.864437,81.408409,1,Left Wing Extremism
18.086249,82.876668,1,Left Wing Extremism
24.108456,83.677393,1,Left Wing Extremism
22.585272,87.049698,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.337591,87.049311,1,Left Wing Extremism
18.336306,81.476654,1,Left Wing Extremism
24.179793,86.306772,1,Left Wing Extremism
24.025907,84.056387,1,Left Wing Extremism
24.626323,84.656098,1,Left Wing Extremism
26.122892,85.368365,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
22.164019,87.003439,1,Left Wing Extremism
26.62906,85.326622,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
20.353091,80.603357,1,Left Wing Extremism
20.304074,80.493827,1,Left Wing Extremism
20.817079,82.533622,1,Left Wing Extremism
24.86985,92.350009,1,Nationalist/Sub-nationalist Movement
20.244972,80.711144,1,Left Wing Extremism
19.619627,84.647122,1,Left Wing Extremism
18.20857,82.103346,1,Left Wing Extremism
25.055543,83.688717,1,Left Wing Extremism
28.585836,77.153336,1,Religious Inspired: Islamic
18.820315,80.358905,1,Left Wing Extremism
23.075278,85.278889,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
22.616778,86.818269,1,Left Wing Extremism
22.454307,87.04119,1,Left Wing Extremism
25.367451,87.002179,1,Left Wing Extremism
18.484547,80.752565,1,Left Wing Extremism
18.905115,78.808327,1,Left Wing Extremism
21.396664,80.660561,1,Left Wing Extremism
24.628724,93.761325,1,Nationalist/Sub-nationalist Movement
22.404193,87.379866,1,Left Wing Extremism
24.798346,93.94043,1,Nationalist/Sub-nationalist Movement
22.72637,87.866023,1,Left Wing Extremism
23.041512,84.544486,1,Left Wing Extremism
22.72637,87.866023,1,Left Wing Extremism
22.138898,87.382878,1,Left Wing Extremism
17.867895,82.352578,1,Left Wing Extremism
18.768007,82.233881,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
23.345904,85.336881,1,Left Wing Extremism
25.095386,94.361652,1,Nationalist/Sub-nationalist Movement
22.076174,85.028135,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
21.323543,80.136014,1,Left Wing Extremism
20.150041,80.212611,1,Left Wing Extremism
18.768007,82.233881,1,Left Wing Extremism
23.332078,86.365208,1,Left Wing Extremism
20.181843,80.006844,1,Left Wing Extremism
19.315328,75.859205,1,Left Wing Extremism
24.401944,83.053333,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
17.248678,80.147376,1,Left Wing Extremism
17.248678,80.147376,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
23.332078,86.365208,1,Left Wing Extremism
25.570455,90.218384,1,Nationalist/Sub-nationalist Movement
18.791667,80.816667,1,Left Wing Extremism
24.798346,93.94043,1,Nationalist/Sub-nationalist Movement
18.486587,82.237957,1,Left Wing Extremism
22.86775,86.944884,1,Left Wing Extremism
26.795846,92.28714,1,Nationalist/Sub-nationalist Movement
18.791667,80.816667,1,Left Wing Extremism
24.42099,83.650803,1,Left Wing Extremism
18.667221,81.671991,1,Left Wing Extremism
18.461069,82.155045,1,Left Wing Extremism
19.203477,81.934532,1,Left Wing Extremism
23.094391,86.220296,1,Left Wing Extremism
23.332078,86.365208,1,Left Wing Extremism
18.484547,80.752565,1,Left Wing Extremism
24.460292,84.998289,1,Left Wing Extremism
25.017247,85.416454,1,Left Wing Extremism
26.828525,84.560034,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
23.075278,85.278889,1,Left Wing Extremism
17.864437,81.408409,1,Left Wing Extremism
23.02663,86.364287,1,Left Wing Extremism
18.583752,80.769661,1,Left Wing Extremism
18.484547,80.752565,1,Left Wing Extremism
22.732874,87.516925,1,Left Wing Extremism
20.256227,80.785271,1,Left Wing Extremism
25.380634,86.465382,1,Left Wing Extremism
33.313294,75.763367,1,Religious Inspired: Islamic
25.161875,93.000669,1,Nationalist/Sub-nationalist Movement
24.749905,84.370896,1,Left Wing Extremism
23.369968,85.325012,1,Left Wing Extremism
23.16,85.586935,1,Left Wing Extremism
26.801527,84.502967,1,Left Wing Extremism
23.417853,85.211422,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
22.976316,88.781433,1,Left Wing Extremism
24.877812,86.921828,1,Left Wing Extremism
24.414869,84.436289,1,Left Wing Extremism
22.138898,87.382878,1,Left Wing Extremism
23.669296,86.151112,1,Left Wing Extremism
24.428844,84.025995,1,Left Wing Extremism
24.168873,84.039211,1,Left Wing Extremism
24.166618,84.019386,1,Left Wing Extremism
22.460017,87.051152,1,Left Wing Extremism
22.460017,87.051152,1,Left Wing Extremism
22.460017,87.051152,1,Left Wing Extremism
26.662885,91.354721,1,Nationalist/Sub-nationalist Movement
26.678779,92.857672,1,Nationalist/Sub-nationalist Movement
26.807354,92.546435,1,Nationalist/Sub-nationalist Movement
26.804857,92.357856,1,Nationalist/Sub-nationalist Movement
24.781467,84.986412,1,Left Wing Extremism
26.122892,85.368365,1,Left Wing Extremism
19.723535,81.242411,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
20.153954,82.586198,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
24.795728,84.999721,1,Left Wing Extremism
25.869727,85.790948,1,Left Wing Extremism
26.495833,89.881944,1,Nationalist/Sub-nationalist Movement
24.00995,85.507147,1,Left Wing Extremism
24.795728,84.999721,1,Left Wing Extremism
26.081575,84.329847,1,Left Wing Extremism
24.179793,86.306772,1,Left Wing Extremism
24.798346,93.94043,1,Nationalist/Sub-nationalist Movement
24.795728,84.999721,1,Left Wing Extremism
23.669296,86.151112,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
25.068355,84.013843,1,Left Wing Extremism
18.364195,81.892418,1,Left Wing Extremism
22.585272,87.049698,1,Left Wing Extremism
18.924224,83.010623,1,Left Wing Extremism
25.456872,90.703405,1,Nationalist/Sub-nationalist Movement
25.456872,90.703405,1,Nationalist/Sub-nationalist Movement
25.467031,91.366216,1,Nationalist/Sub-nationalist Movement
23.400458,85.355511,1,Left Wing Extremism
23.429957,88.63143,1,Left Wing Extremism
22.521813,86.988683,1,Left Wing Extremism
24.440216,84.460948,1,Left Wing Extremism
22.731895,88.006342,1,Left Wing Extremism
19.007832,81.05793,1,Left Wing Extremism
22.35435,86.906606,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
19.20001,80.338021,1,Left Wing Extremism
20.024392,80.338021,1,Left Wing Extremism
17.68659,83.21824,1,Left Wing Extremism
24.33168,94.000705,1,Nationalist/Sub-nationalist Movement
24.749905,84.370896,1,Left Wing Extremism
26.525754,84.91023,1,Left Wing Extremism
18.391012,81.656929,1,Left Wing Extremism
21.814946,84.959777,1,Left Wing Extremism
23.867959,84.109206,1,Left Wing Extremism
19.995642,80.441129,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
25.099588,93.945765,1,Nationalist/Sub-nationalist Movement
18.262023,79.686485,1,Left Wing Extremism
23.961479,87.229486,1,Left Wing Extremism
22.97566,86.625366,1,Left Wing Extremism
18.45767,79.941488,1,Left Wing Extremism
18.435465,79.129664,1,Left Wing Extremism
18.435465,79.129664,1,Left Wing Extremism
18.262023,79.686485,1,Left Wing Extremism
18.951288,79.805131,1,Left Wing Extremism
21.390826,85.373043,1,Left Wing Extremism
25.320817,85.125607,1,Left Wing Extremism
25.419187,86.131449,1,Left Wing Extremism
25.451103,87.250206,1,Left Wing Extremism
24.12157,86.360486,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.045186,85.163631,1,Left Wing Extremism
18.072954,80.8256,1,Left Wing Extremism
17.867895,82.352578,1,Left Wing Extremism
24.749905,84.370896,1,Left Wing Extremism
19.414814,80.589669,1,Left Wing Extremism
25.317645,82.973914,1,Religious Inspired: Islamic
18.815236,82.712102,1,Left Wing Extremism
22.124002,84.043175,1,Left Wing Extremism
23.788266,87.265564,1,Left Wing Extremism
18.703974,82.218936,1,Left Wing Extremism
23.066347,87.403396,1,Left Wing Extremism
22.076174,85.028135,1,Left Wing Extremism
22.365086,85.437557,1,Left Wing Extremism
24.302783,85.005153,1,Left Wing Extremism
22.610968,84.502431,1,Left Wing Extremism
25.500247,90.605023,1,Nationalist/Sub-nationalist Movement
24.33168,94.000705,1,Nationalist/Sub-nationalist Movement
23.346597,86.009606,1,Left Wing Extremism
22.959166,85.965274,1,Left Wing Extremism
19.402352,83.295273,1,Left Wing Extremism
22.404193,87.379866,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
24.128611,84.185712,1,Left Wing Extremism
18.9,81.35,1,Left Wing Extremism
20.181843,80.006844,1,Left Wing Extremism
19.137828,79.92208,1,Left Wing Extremism
19.398378,84.272651,1,Left Wing Extremism
19.398378,84.272651,1,Left Wing Extremism
22.632073,86.764262,1,Left Wing Extremism
18.708305,80.995499,1,Left Wing Extremism
24.159623,83.803807,1,Left Wing Extremism
22.365086,85.437557,1,Left Wing Extremism
20.024392,80.338021,1,Left Wing Extremism
22.61206,86.65859,1,Left Wing Extremism
22.870022,86.476908,1,Left Wing Extremism
22.623273,88.494869,1,Left Wing Extremism
22.636871,86.676562,1,Left Wing Extremism
24.825521,87.213518,1,Left Wing Extremism
22.032336,87.174696,1,Left Wing Extremism
22.032336,87.174696,1,Left Wing Extremism
22.032336,87.174696,1,Left Wing Extremism
23.137993,86.293294,1,Left Wing Extremism
17.812075,81.383041,1,Left Wing Extremism
19.639543,79.474959,1,Left Wing Extremism
19.757752,80.31336,1,Left Wing Extremism
20.22971,78.945088,1,Left Wing Extremism
19.17,83.42,1,Left Wing Extremism
23.774104,84.456646,1,Left Wing Extremism
20.134204,84.016742,1,Left Wing Extremism
20.848333,86.337222,1,Left Wing Extremism
23.470966,88.556531,1,Left Wing Extremism
23.075278,85.278889,1,Left Wing Extremism
22.424109,87.318986,1,Left Wing Extremism
23.041512,84.544486,1,Left Wing Extremism
24.183839,88.194978,1,Left Wing Extremism
22.235807,84.925348,1,Left Wing Extremism
19.488627,84.179268,1,Left Wing Extremism
18.791667,80.816667,1,Left Wing Extremism
19.775408,80.351539,1,Left Wing Extremism
18.815236,82.712102,1,Left Wing Extremism
23.669296,86.151112,1,Left Wing Extremism
22.225265,87.053683,1,Left Wing Extremism
20.344158,80.36915,1,Left Wing Extremism
22.986757,87.854975,1,Left Wing Extremism
24.128611,84.185712,1,Left Wing Extremism
22.451393,86.992203,1,Left Wing Extremism
24.795728,84.999721,1,Left Wing Extremism
19.145379,84.65249,1,Left Wing Extremism
26.553965,88.19162,1,Left Wing Extremism
22.86775,86.944884,1,Left Wing Extremism
22.86775,86.944884,1,Left Wing Extremism
20.184912,85.621529,1,Left Wing Extremism
21.157637,81.719893,1,Left Wing Extremism
