Date,Terrorist_Events
2/10/2015,2
3/10/2015,13
4/10/2015,2
5/10/2015,2
6/10/2015,3
7/10/2015,2
8/10/2015,5
9/10/2015,1
10/10/2015,1
11/10/2015,2
12/10/2015,3
13/10/2015,5
14/10/2015,2
15/10/2015,8
16/10/2015,7
17/10/2015,4
18/10/2015,1
19/10/2015,3
20/10/2015,3
21/10/2015,1
22/10/2015,3
23/10/2015,3
24/10/2015,4
25/10/2015,6
26/10/2015,2
27/10/2015,3
28/10/2015,1
29/10/2015,3
30/10/2015,5
31/10/2015,4
1/11/2015,3
2/11/2015,4
3/11/2015,1
4/11/2015,2
5/11/2015,1
6/11/2015,3
7/11/2015,1
9/11/2015,2
10/11/2015,1
11/11/2015,2
12/11/2015,1
13/11/2015,7
14/11/2015,2
15/11/2015,1
17/11/2015,4
18/11/2015,1
19/11/2015,1
20/11/2015,6
21/11/2015,2
22/11/2015,2
23/11/2015,7
24/11/2015,5
25/11/2015,1
26/11/2015,2
28/11/2015,3
29/11/2015,2
30/11/2015,4
2/12/2015,4
3/12/2015,1
4/12/2015,2
6/12/2015,1
7/12/2015,2
8/12/2015,4
9/12/2015,4
10/12/2015,1
12/12/2015,2
13/12/2015,3
15/12/2015,3
17/12/2015,3
18/12/2015,1
19/12/2015,1
20/12/2015,2
21/12/2015,5
22/12/2015,1
23/12/2015,2
24/12/2015,2
25/12/2015,3
26/12/2015,2
27/12/2015,1
29/12/2015,3
30/12/2015,1
31/12/2015,2
1/1/2016,5
2/1/2016,3
3/1/2016,2
4/1/2016,2
5/1/2016,7
6/1/2016,2
7/1/2016,4
8/1/2016,2
9/1/2016,2
10/1/2016,4
11/1/2016,1
12/1/2016,2
13/01/2016,5
14/01/2016,3
15/01/2016,5
16/01/2016,3
17/01/2016,2
18/01/2016,2
19/01/2016,2
20/01/2016,3
21/01/2016,1
22/01/2016,4
23/01/2016,3
24/01/2016,1
25/01/2016,3
26/01/2016,4
27/01/2016,4
28/01/2016,7
31/01/2016,6
1/2/2016,2
2/2/2016,2
3/2/2016,6
4/2/2016,1
5/2/2016,3
6/2/2016,1
8/2/2016,1
9/2/2016,2
10/2/2016,1
11/2/2016,1
12/2/2016,5
13/02/2016,2
14/02/2016,2
15/02/2016,4
16/02/2016,8
17/02/2016,4
19/02/2016,5
20/02/2016,4
21/02/2016,4
22/02/2016,2
23/02/2016,4
24/02/2016,3
25/02/2016,1
26/02/2016,2
27/02/2016,3
28/02/2016,4
29/02/2016,2
1/3/2016,1
2/3/2016,2
3/3/2016,6
4/3/2016,2
5/3/2016,1
6/3/2016,4
7/3/2016,1
9/3/2016,1
10/3/2016,1
11/3/2016,9
12/3/2016,4
13/03/2016,3
14/03/2016,1
15/03/2016,2
17/03/2016,2
18/03/2016,4
19/03/2016,6
20/03/2016,2
21/03/2016,1
22/03/2016,4
23/03/2016,3
24/03/2016,1
25/03/2016,2
26/03/2016,3
27/03/2016,1
28/03/2016,2
29/03/2016,2
30/03/2016,6
31/03/2016,4
1/4/2016,4
2/4/2016,4
3/4/2016,4
4/4/2016,8
5/4/2016,4
6/4/2016,5
7/4/2016,2
8/4/2016,4
9/4/2016,1
10/4/2016,3
11/4/2016,5
13/04/2016,1
14/04/2016,3
15/04/2016,4
16/04/2016,2
17/04/2016,2
18/04/2016,6
20/04/2016,3
21/04/2016,5
22/04/2016,1
23/04/2016,2
24/04/2016,1
25/04/2016,3
26/04/2016,3
27/04/2016,1
28/04/2016,5
29/04/2016,2
2/5/2016,5
3/5/2016,4
4/5/2016,5
5/5/2016,1
6/5/2016,3
7/5/2016,1
8/5/2016,2
9/5/2016,3
10/5/2016,3
11/5/2016,1
12/5/2016,2
13/05/2016,4
14/05/2016,1
15/05/2016,1
16/05/2016,4
17/05/2016,7
18/05/2016,1
19/05/2016,3
20/05/2016,3
21/05/2016,5
22/05/2016,3
23/05/2016,3
24/05/2016,2
25/05/2016,6
26/05/2016,7
27/05/2016,2
28/05/2016,4
30/05/2016,3
31/05/2016,3
1/6/2016,2
3/6/2016,3
4/6/2016,2
5/6/2016,4
7/6/2016,4
8/6/2016,4
9/6/2016,2
10/6/2016,3
11/6/2016,3
12/6/2016,1
13/06/2016,1
14/06/2016,3
15/06/2016,10
16/06/2016,2
18/06/2016,3
19/06/2016,3
21/06/2016,5
22/06/2016,4
23/06/2016,3
24/06/2016,3
25/06/2016,4
26/06/2016,3
27/06/2016,1
28/06/2016,5
30/06/2016,1
1/7/2016,4
2/7/2016,2
3/7/2016,1
4/7/2016,2
5/7/2016,1
6/7/2016,1
7/7/2016,4
9/7/2016,3
10/7/2016,4
11/7/2016,2
12/7/2016,2
13/07/2016,2
14/07/2016,2
15/07/2016,3
16/07/2016,3
17/07/2016,2
18/07/2016,1
19/07/2016,1
21/07/2016,2
22/07/2016,1
23/07/2016,4
24/07/2016,5
25/07/2016,1
27/07/2016,1
29/07/2016,6
30/07/2016,1
1/8/2016,4
2/8/2016,3
3/8/2016,1
4/8/2016,3
5/8/2016,3
6/8/2016,9
7/8/2016,9
8/8/2016,7
9/8/2016,2
10/8/2016,4
11/8/2016,4
12/8/2016,11
13/08/2016,3
14/08/2016,3
15/08/2016,12
16/08/2016,3
17/08/2016,4
18/08/2016,2
19/08/2016,3
20/08/2016,2
21/08/2016,2
23/08/2016,1
24/08/2016,1
26/08/2016,2
27/08/2016,1
28/08/2016,2
29/08/2016,3
30/08/2016,2
31/08/2016,2
2/9/2016,2
3/9/2016,2
4/9/2016,2
5/9/2016,1
6/9/2016,2
7/9/2016,5
8/9/2016,1
9/9/2016,3
10/9/2016,2
11/9/2016,3
12/9/2016,6
14/09/2016,2
15/09/2016,3
16/09/2016,2
17/09/2016,1
18/09/2016,2
19/09/2016,6
20/09/2016,1
21/09/2016,1
22/09/2016,2
23/09/2016,5
24/09/2016,2
25/09/2016,3
26/09/2016,3
27/09/2016,3
28/09/2016,3
29/09/2016,1
30/09/2016,5
1/10/2016,4
2/10/2016,3
3/10/2016,4
4/10/2016,3
5/10/2016,1
6/10/2016,5
7/10/2016,2
8/10/2016,2
10/10/2016,3
11/10/2016,4
12/10/2016,1
13/10/2016,2
14/10/2016,1
15/10/2016,3
16/10/2016,5
17/10/2016,4
18/10/2016,1
19/10/2016,4
20/10/2016,1
21/10/2016,2
22/10/2016,5
23/10/2016,3
24/10/2016,5
25/10/2016,4
26/10/2016,4
27/10/2016,4
28/10/2016,8
29/10/2016,3
30/10/2016,3
31/10/2016,6
1/11/2016,2
3/11/2016,4
4/11/2016,8
5/11/2016,1
6/11/2016,2
7/11/2016,1
8/11/2016,1
9/11/2016,2
10/11/2016,2
11/11/2016,5
12/11/2016,4
13/11/2016,1
14/11/2016,2
16/11/2016,3
17/11/2016,2
18/11/2016,8
19/11/2016,1
20/11/2016,4
21/11/2016,3
22/11/2016,3
24/11/2016,3
25/11/2016,4
26/11/2016,4
27/11/2016,2
28/11/2016,1
29/11/2016,4
30/11/2016,6
1/12/2016,2
2/12/2016,3
3/12/2016,4
4/12/2016,2
5/12/2016,1
6/12/2016,5
7/12/2016,2
8/12/2016,2
9/12/2016,2
10/12/2016,2
11/12/2016,3
12/12/2016,3
13/12/2016,1
14/12/2016,1
15/12/2016,6
16/12/2016,3
17/12/2016,4
18/12/2016,1
19/12/2016,2
20/12/2016,4
21/12/2016,2
22/12/2016,1
23/12/2016,5
24/12/2016,1
25/12/2016,1
26/12/2016,2
27/12/2016,6
28/12/2016,2
29/12/2016,3
30/12/2016,2
31/12/2016,2
